"country","points","price","variety","province"
"Italy",89,80,"Nebbiolo","Piedmont"
"US",92,95,"Pinot Noir","California"
"US",87,36,"Zinfandel","California"
"Spain",91,14,"Pedro Ximénez","Andalucia"
"US",88,25,"Pinot Noir","Oregon"
"US",94,70,"Red Blend","California"
"US",92,20,"Sauvignon Blanc","Washington"
"US",86,16,"Merlot","California"
"US",86,26,"Mourvèdre","California"
"France",95,120,"Gewürztraminer","Alsace"
"US",85,39,"Tempranillo","California"
"Chile",84,11,"Carmenère","Colchagua Valley"
"US",85,18,"Rhône-style White Blend","California"
"Argentina",85,17,"Bonarda","Mendoza Province"
"US",89,42,"Pinot Noir","California"
"Italy",89,NA,"Red Blend","Tuscany"
"Italy",91,23,"Corvina, Rondinella, Molinara","Veneto"
"Italy",89,16,"Pinot Bianco","Northeastern Italy"
"US",85,32,"Syrah","California"
"US",81,17,"Cabernet Franc","New Jersey"
"France",89,NA,"Sauvignon Blanc","Loire Valley"
"US",90,40,"Cabernet Sauvignon","Washington"
"Chile",89,20,"Carmenère","Colchagua Valley"
"France",90,48,"Syrah","Rhône Valley"
"US",83,30,"Chardonnay","California"
"Portugal",93,35,"Portuguese Red","Dão"
"Australia",90,27,"Shiraz","South Australia"
"US",87,14,"Chardonnay","California"
"Italy",88,15,"Barbera","Piedmont"
"US",93,40,"Cabernet Sauvignon","Washington"
"US",90,40,"Pinot Noir","Oregon"
"US",90,20,"Red Blend","California"
"US",86,24,"Pinot Noir","California"
"Austria",93,NA,"Riesling","Wachau"
"Australia",89,20,"Cabernet Sauvignon","South Australia"
"Argentina",81,18,"Malbec","Mendoza Province"
"Italy",88,39,"White Blend","Sicily & Sardinia"
"US",93,44,"Pinot Noir","California"
"US",84,23,"Viognier","California"
"US",84,20,"Cabernet Sauvignon","California"
"US",87,15,"Chardonnay","Washington"
"Argentina",84,10,"Cabernet Sauvignon","Mendoza Province"
"France",91,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",88,28,"Petite Sirah","California"
"Italy",87,15,"Vermentino","Tuscany"
"US",80,12,"Cabernet Sauvignon","California"
"France",90,35,"Bordeaux-style Red Blend","Bordeaux"
"Chile",86,11,"Carmenère","Maule Valley"
"France",89,12,"White Blend","Southwest France"
"France",91,30,"Bordeaux-style Red Blend","Bordeaux"
"Italy",93,195,"Nebbiolo","Piedmont"
"Argentina",80,9,"Torrontés","Mendoza Province"
"Spain",89,64,"Tempranillo Blend","Northern Spain"
"Italy",87,18,"Prosecco","Veneto"
"Italy",91,105,"Sangiovese Grosso","Tuscany"
"France",85,11,"Rosé","Languedoc-Roussillon"
"US",83,14,"Sauvignon Blanc","California"
"Italy",90,41,"Sangiovese","Central Italy"
"US",93,49,"Pinot Noir","California"
"US",87,50,"Pinot Noir","California"
"Chile",83,9,"Carmenère","Maipo Valley"
"US",92,40,"Pinot Blanc","California"
"France",90,36,"Chardonnay","Burgundy"
"Portugal",92,29,"Portuguese Red","Douro"
"US",88,27,"Rosé","California"
"US",89,14,"White Blend","Oregon"
"US",81,22,"Zinfandel","California"
"Australia",87,18,"Sauvignon Blanc","South Australia"
"Chile",88,13,"Syrah","Colchagua Valley"
"US",89,45,"Cabernet Sauvignon","California"
"Italy",87,32,"Sangiovese","Tuscany"
"Spain",88,23,"Albariño","Galicia"
"France",90,26,"Riesling","Alsace"
"Australia",89,NA,"Shiraz","South Australia"
"US",85,12,"Zinfandel","California"
"US",84,25,"Syrah","California"
"US",86,18,"Chardonnay","California"
"New Zealand",87,15,"Sauvignon Blanc","Marlborough"
"Argentina",82,18,"Torrontés","Mendoza Province"
"New Zealand",88,NA,"Chardonnay","Central Otago"
"Chile",85,15,"Carmenère","Limarí Valley"
"US",91,75,"Cabernet Sauvignon","California"
"Italy",86,22,"Glera","Veneto"
"Argentina",85,14,"Chardonnay-Viognier","Mendoza Province"
"Chile",91,100,"Petit Verdot","Aconcagua Valley"
"Spain",85,22,"Albariño","Galicia"
"Italy",86,12,"Red Blend","Tuscany"
"Italy",90,17,"Red Blend","Tuscany"
"South Africa",89,15,"Sauvignon Blanc","Coastal Region"
"Italy",86,13,"Red Blend","Tuscany"
"Portugal",87,NA,"Portuguese Sparkling","Vinho Espumante de Qualidade"
"US",84,17,"Merlot","California"
"US",90,19,"Pinot Noir","California"
"US",85,25,"Cabernet Sauvignon","California"
"Chile",85,10,"Merlot","Central Valley"
"Italy",89,24,"Sangiovese Grosso","Tuscany"
"Australia",89,38,"Shiraz","South Australia"
"Spain",91,30,"Monastrell","Levante"
"Italy",90,33,"Nebbiolo","Piedmont"
"US",90,36,"Syrah","California"
"France",84,NA,"Malbec","Southwest France"
"US",90,15,"Pinot Noir","California"
"US",88,22,"Bordeaux-style Red Blend","New York"
"New Zealand",83,17,"Pinot Gris","Central Otago"
"Portugal",90,15,"Port","Port"
"US",82,20,"Chardonnay","New York"
"Italy",92,75,"White Blend","Tuscany"
"Serbia",89,20,"Riesling","Župa"
"Spain",87,18,"Albariño","Galicia"
"France",87,15,"Pinot Blanc","Alsace"
"US",87,32,"Bordeaux-style Red Blend","California"
"US",85,9,"Red Blend","California"
"Chile",91,48,"Carmenère","Colchagua Valley"
"Italy",89,55,"White Blend","Tuscany"
"US",85,48,"Cabernet Sauvignon","California"
"France",86,19,"Chardonnay","Burgundy"
"France",88,NA,"Rosé","Provence"
"US",92,44,"Pinot Noir","California"
"Australia",91,28,"Shiraz","South Australia"
"Spain",88,30,"Tempranillo","Northern Spain"
"US",87,25,"Grenache Blanc","California"
"Spain",87,11,"Red Blend","Catalonia"
"US",90,28,"Cabernet Franc","California"
"Portugal",87,7,"Portuguese Red","Bairrada"
"France",93,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",86,17,"Chardonnay","New York"
"US",88,39,"Cabernet Sauvignon","California"
"US",89,35,"Malbec","Washington"
"US",92,20,"Sémillon","Washington"
"US",94,40,"Cabernet Sauvignon","Washington"
"Italy",93,90,"Red Blend","Tuscany"
"New Zealand",87,30,"Syrah","Hawke's Bay"
"Australia",87,14,"Chardonnay","South Australia"
"France",87,NA,"Gamay","Beaujolais"
"Argentina",81,8,"Malbec","Other"
"US",85,14,"Sauvignon Blanc","California"
"Australia",86,17,"Chardonnay","South Australia"
"France",91,115,"Pinot Noir","Burgundy"
"Portugal",87,12,"Portuguese Red","Douro"
"Germany",93,500,"Riesling","Rheingau"
"US",90,30,"Chardonnay","California"
"New Zealand",92,NA,"Merlot-Cabernet","Hawke's Bay"
"US",93,60,"Pinot Noir","California"
"Spain",86,9,"White Blend","Northern Spain"
"France",88,42,"Pinot Noir","Burgundy"
"US",85,14,"Pinot Noir","California"
"Portugal",90,15,"Portuguese White","Alentejo"
"Argentina",89,20,"Malbec-Cabernet Sauvignon","Mendoza Province"
"US",89,23,"Cabernet Sauvignon","California"
"Chile",83,11,"Cabernet Sauvignon","Rapel Valley"
"US",86,35,"Chardonnay","California"
"Portugal",88,24,"Port","Port"
"Italy",87,22,"Verdicchio","Central Italy"
"Germany",90,22,"Riesling","Mosel"
"US",93,65,"Cabernet Sauvignon","California"
"Italy",85,8,"Red Blend","Southern Italy"
"US",86,30,"Sagrantino","California"
"France",88,14,"White Blend","Southwest France"
"US",92,50,"Pinot Noir","Oregon"
"US",88,35,"Malbec","Washington"
"Portugal",86,NA,"Baga","Bairrada"
"Israel",88,50,"Syrah","Galilee"
"Italy",99,175,"Nebbiolo","Piedmont"
"US",87,20,"Red Blend","Washington"
"US",85,20,"Sauvignon Blanc","California"
"France",87,14,"Rosé","Southwest France"
"Chile",89,13,"Malbec","Requinoa"
"Italy",85,11,"Glera","Veneto"
"Australia",92,27,"Chardonnay","Western Australia"
"France",87,19,"Rosé","Provence"
"US",88,15,"Syrah","Washington"
"Italy",89,28,"Sangiovese","Tuscany"
"US",90,33,"Chardonnay","California"
"Italy",85,NA,"Prosecco","Veneto"
"France",81,NA,"Sauvignon Blanc","Loire Valley"
"Chile",89,20,"Cabernet Sauvignon","Maipo Valley"
"Australia",88,25,"Shiraz","South Australia"
"Italy",89,54,"Sparkling Blend","Lombardy"
"Portugal",90,NA,"Portuguese Red","Lisboa"
"New Zealand",88,19,"Sauvignon Blanc","Marlborough"
"Spain",89,13,"Tempranillo","Northern Spain"
"Australia",85,20,"Champagne Blend","Australia Other"
"Italy",86,16,"Prosecco","Italy Other"
"US",83,20,"Nebbiolo","New Mexico"
"US",85,16,"Pinot Noir","California"
"Spain",89,36,"Red Blend","Levante"
"US",90,20,"Sauvignon Blanc","California"
"Italy",88,17,"Pinot Grigio","Northeastern Italy"
"US",85,12,"Pinot Grigio","California"
"US",87,36,"Zinfandel","California"
"Portugal",85,NA,"Portuguese Red","Lisboa"
"Austria",91,29,"Grüner Veltliner","Wagram-Donauland"
"US",87,19,"Chardonnay","California"
"South Africa",87,25,"Sauvignon Blanc","Cape Agulhas"
"Australia",87,12,"Cabernet Sauvignon","New South Wales"
"US",92,30,"Cabernet Sauvignon","California"
"Australia",86,14,"Cabernet Sauvignon","South Australia"
"Italy",81,12,"Sangiovese","Tuscany"
"US",91,49,"Cabernet Sauvignon","Washington"
"Australia",81,8,"Shiraz","Australia Other"
"Spain",89,12,"Sparkling Blend","Catalonia"
"Italy",87,65,"Corvina, Rondinella, Molinara","Veneto"
"France",87,NA,"Bordeaux-style White Blend","Bordeaux"
"Italy",87,NA,"Red Blend","Central Italy"
"US",84,24,"Zinfandel","California"
"US",88,19,"Cabernet Sauvignon","New York"
"Germany",85,20,"Riesling","Rheingau"
"US",86,40,"Cabernet Sauvignon","California"
"US",93,50,"Chardonnay","California"
"France",87,20,"Cabernet Franc","Loire Valley"
"Chile",84,40,"Sparkling Blend","Leyda Valley"
"Greece",88,12,"Agiorgitiko","Nemea"
"US",86,22,"Pinot Noir","Oregon"
"Austria",93,NA,"Blaufränkisch","Mittelburgenland"
"France",88,NA,"Rosé","Rhône Valley"
"Spain",84,15,"White Blend","Northern Spain"
"US",92,35,"Chardonnay","California"
"France",89,16,"Rosé","Provence"
"US",85,44,"Red Blend","Oregon"
"Chile",84,13,"Chardonnay","Casablanca Valley"
"Germany",92,34,"Riesling","Mosel"
"France",86,19,"Bordeaux-style Red Blend","Bordeaux"
"Spain",87,13,"Tempranillo","Northern Spain"
"US",90,30,"Chardonnay","California"
"Italy",85,NA,"Red Blend","Sicily & Sardinia"
"Spain",87,22,"White Blend","Catalonia"
"US",92,32,"Chardonnay","California"
"US",85,17,"Pinot Noir","California"
"US",83,19,"Pinot Noir","California"
"Italy",87,NA,"Moscato","Piedmont"
"US",91,45,"Pinot Noir","California"
"Italy",89,NA,"Merlot","Tuscany"
"US",90,13,"Edelzwicker","California"
"US",86,32,"Cabernet Sauvignon","California"
"Italy",89,83,"Nebbiolo","Piedmont"
"US",89,35,"Chardonnay","California"
"US",87,90,"Cabernet Sauvignon","California"
"South Africa",90,55,"Pinot Noir","Hemel en Aarde"
"US",84,18,"Zinfandel","California"
"Italy",88,NA,"Grillo","Sicily & Sardinia"
"Italy",93,45,"Red Blend","Tuscany"
"US",86,35,"Sparkling Blend","New York"
"US",89,44,"Pinot Noir","California"
"US",90,30,"Syrah","Washington"
"Italy",88,17,"White Blend","Sicily & Sardinia"
"New Zealand",85,33,"Syrah","Martinborough"
"US",92,48,"Cabernet Sauvignon","California"
"France",92,NA,"Bordeaux-style Red Blend","Bordeaux"
"Argentina",86,15,"Pinot Noir","Other"
"Italy",92,48,"Corvina, Rondinella, Molinara","Veneto"
"Germany",88,NA,"Riesling","Rheingau"
"US",84,21,"Chardonnay","California"
"Portugal",89,13,"Avesso","Vinho Verde"
"US",90,30,"Chardonnay","California"
"Austria",91,48,"Grüner Veltliner","Kremstal"
"Austria",87,20,"Grüner Veltliner","Wachau"
"Italy",90,37,"Sparkling Blend","Lombardy"
"US",88,36,"Chardonnay","California"
"US",92,22,"Cabernet Sauvignon","California"
"Italy",88,21,"Riesling","Northeastern Italy"
"Chile",83,12,"Carmenère","Maipo Valley"
"US",89,42,"Pinot Noir","California"
"Portugal",88,25,"Port","Port"
"Italy",93,55,"Merlot","Tuscany"
"Italy",88,19,"Corvina, Rondinella, Molinara","Veneto"
"US",88,18,"Chardonnay","California"
"South Africa",87,35,"Red Blend","Swartland"
"US",90,95,"Cabernet Sauvignon","California"
"Spain",86,7,"Tempranillo-Merlot","Northern Spain"
"France",91,35,"Rosé","Provence"
"France",86,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",85,40,"Pinot Noir","California"
"Austria",85,11,"Grüner Veltliner","Niederösterreich"
"US",90,19,"Sparkling Blend","California"
"Australia",92,105,"Shiraz","South Australia"
"France",91,NA,"Bordeaux-style Red Blend","Bordeaux"
"Chile",88,16,"Carmenère","Cachapoal Valley"
"Portugal",90,NA,"Loureiro","Vinho Verde"
"US",86,24,"Rhône-style Red Blend","California"
"France",92,35,"Rhône-style Red Blend","Rhône Valley"
"Chile",87,9,"Carmenère","Central Valley"
"France",85,21,"Cabernet Franc","Loire Valley"
"US",90,32,"Cabernet Sauvignon","California"
"US",87,32,"Bordeaux-style Red Blend","New York"
"US",93,39,"Pinot Noir","California"
"Italy",88,24,"Fiano","Southern Italy"
"Chile",93,80,"Cabernet Blend","Cachapoal Valley"
"Italy",93,75,"Sangiovese","Tuscany"
"US",93,30,"Zinfandel","California"
"France",88,42,"Rosé","Provence"
"South Africa",87,28,"Cabernet Sauvignon","Stellenbosch"
"Italy",87,15,"Merlot","Northeastern Italy"
"US",88,22,"Viognier","Washington"
"Italy",92,50,"Corvina, Rondinella, Molinara","Veneto"
"Australia",86,8,"Cabernet Sauvignon-Merlot","Australia Other"
"Chile",86,75,"Red Blend","Loncomilla Valley"
"US",87,29,"Pinot Noir","California"
"US",90,30,"Chardonnay","California"
"US",88,16,"Pinot Gris","Oregon"
"Italy",89,NA,"Trebbiano","Central Italy"
"US",84,9,"Merlot","California"
"Australia",88,26,"Shiraz","South Australia"
"Italy",87,23,"Sangiovese","Tuscany"
"US",84,13,"Riesling","Ohio"
"US",90,32,"Syrah","Washington"
"US",94,63,"Pinot Noir","Oregon"
"Chile",90,22,"Red Blend","Maule Valley"
"Germany",88,55,"Spätburgunder","Württemberg"
"Italy",85,10,"Red Blend","Tuscany"
"US",96,150,"Pinot Noir","California"
"US",89,30,"Pinot Noir","California"
"US",86,20,"Pinot Noir","California"
"US",87,50,"Pinot Noir","Oregon"
"France",88,NA,"Bordeaux-style Red Blend","Bordeaux"
"Spain",83,10,"White Blend","Levante"
"US",84,13,"Syrah","Washington"
"Italy",91,45,"Red Blend","Southern Italy"
"Italy",90,20,"Müller-Thurgau","Northeastern Italy"
"France",84,15,"Sauvignon Blanc","France Other"
"US",87,18,"Gewürztraminer","Oregon"
"France",90,32,"Rhône-style White Blend","Rhône Valley"
"US",91,18,"Sauvignon Blanc","California"
"US",84,20,"Pinot Noir","California"
"US",89,48,"Pinot Noir","Oregon"
"US",83,8,"Champagne Blend","California"
"Australia",90,18,"Grenache","South Australia"
"US",86,16,"Zinfandel","California"
"New Zealand",87,15,"Sauvignon Blanc","Marlborough"
"US",85,35,"Sauvignon Blanc","California"
"Italy",87,55,"Sangiovese","Tuscany"
"France",92,NA,"Bordeaux-style Red Blend","Bordeaux"
"Italy",87,20,"Nebbiolo","Piedmont"
"US",87,58,"Cabernet Sauvignon","California"
"US",88,35,"Pinot Noir","California"
"US",93,60,"Cabernet Sauvignon","California"
"US",85,32,"Zinfandel","California"
"Italy",91,NA,"Corvina, Rondinella, Molinara","Veneto"
"France",85,20,"Chardonnay","Burgundy"
"Greece",85,11,"Red Blend","Greece"
"US",90,46,"Pinot Noir","California"
"US",84,13,"Chardonnay","New York"
"Spain",95,105,"Tempranillo","Northern Spain"
"France",87,16,"Bordeaux-style Red Blend","Bordeaux"
"France",89,35,"Cabernet Franc","Loire Valley"
"Italy",87,17,"White Blend","Sicily & Sardinia"
"Italy",92,125,"Sangiovese","Tuscany"
"Germany",90,37,"Riesling","Mosel-Saar-Ruwer"
"US",90,17,"Riesling","Washington"
"Italy",91,NA,"White Blend","Tuscany"
"Chile",86,17,"Cabernet Sauvignon","Maipo Valley"
"Portugal",84,8,"Portuguese Red","Alentejo"
"Portugal",91,NA,"Port","Port"
"US",91,29,"Grenache","Washington"
"US",84,13,"Riesling","New York"
"US",85,15,"Pinot Noir","California"
"US",87,28,"Tempranillo","Oregon"
"US",86,32,"Syrah","California"
"Austria",91,NA,"Blaufränkisch","Burgenland"
"US",88,60,"Pinot Noir","Oregon"
"France",90,NA,"Bordeaux-style White Blend","Bordeaux"
"Italy",91,80,"Red Blend","Sicily & Sardinia"
"Germany",87,62,"Riesling","Rheinhessen"
"Italy",86,NA,"Falanghina","Southern Italy"
"Spain",87,12,"Sparkling Blend","Catalonia"
"Italy",87,15,"Prosecco","Veneto"
"France",92,NA,"Pinot Noir","Burgundy"
"Italy",90,38,"Corvina, Rondinella, Molinara","Veneto"
"Italy",93,70,"Sangiovese Grosso","Tuscany"
"New Zealand",83,24,"Pinot Noir","Marlborough"
"US",93,55,"Cabernet Sauvignon","California"
"Italy",87,NA,"Moscato","Piedmont"
"Italy",89,35,"Corvina, Rondinella, Molinara","Veneto"
"Austria",88,24,"Grüner Veltliner","Kremstal"
"Germany",90,41,"Riesling","Nahe"
"Italy",89,17,"Pinot Grigio","Northeastern Italy"
"New Zealand",84,13,"Chardonnay","Hawke's Bay"
"Chile",88,15,"Viognier","Rapel Valley"
"Italy",88,30,"Red Blend","Sicily & Sardinia"
"Italy",87,15,"Prosecco","Veneto"
"Australia",89,20,"Cabernet Sauvignon","South Australia"
"Austria",90,35,"Riesling","Wachau"
"US",89,35,"Chardonnay","California"
"US",89,18,"Pinot Gris","Oregon"
"Israel",86,24,"Cabernet Franc","Upper Galilee"
"US",90,50,"Red Blend","Washington"
"US",90,32,"Pinot Gris","Oregon"
"US",93,48,"Pinot Noir","California"
"US",89,28,"Pinot Noir","California"
"Italy",85,20,"Prosecco","Veneto"
"Italy",87,15,"White Blend","Sicily & Sardinia"
"Italy",93,55,"Sangiovese Grosso","Tuscany"
"Argentina",85,20,"Malbec","Mendoza Province"
"France",93,15,"Tannat","Southwest France"
"US",92,72,"Pinot Noir","California"
"Australia",81,5,"Cabernet Sauvignon","Australia Other"
"Spain",87,18,"Tempranillo","Northern Spain"
"Portugal",93,26,"Portuguese White","Douro"
"Portugal",88,15,"Touriga Nacional","Lisboa"
"US",85,32,"Zinfandel","California"
"Germany",92,92,"Riesling","Rheingau"
"France",94,NA,"Bordeaux-style White Blend","Bordeaux"
"France",95,390,"Champagne Blend","Champagne"
"France",87,17,"Gewürztraminer","Alsace"
"US",90,35,"Pinot Noir","California"
"US",87,12,"Gewürztraminer","California"
"Italy",89,17,"Montepulciano","Central Italy"
"US",88,19,"Riesling","Washington"
"US",89,19,"Meritage","Washington"
"Argentina",84,13,"Torrontés","Other"
"US",87,40,"Pinot Noir","California"
"Portugal",84,NA,"Portuguese Red","Ribatejo"
"US",89,75,"Red Blend","Washington"
"Chile",92,25,"Carmenère","Maipo Valley"
"France",84,15,"Rosé","Languedoc-Roussillon"
"France",95,NA,"Champagne Blend","Champagne"
"France",90,63,"Chardonnay","Burgundy"
"France",87,19,"Bordeaux-style Red Blend","Bordeaux"
"France",91,45,"Bordeaux-style Red Blend","Bordeaux"
"Australia",88,41,"Pinot Noir","Victoria"
"Greece",88,79,"Red Blend","Epanomi"
"US",87,45,"Cabernet Sauvignon","California"
"Chile",85,15,"Malbec","Maipo Valley"
"Italy",86,9,"Turbiana","Lombardy"
"US",88,13,"Riesling","New York"
"US",89,28,"Tempranillo","Oregon"
"US",91,20,"Sémillon","Washington"
"France",90,75,"Marsanne","Rhône Valley"
"US",86,25,"Cabernet Sauvignon","California"
"France",86,25,"Gamay","Beaujolais"
"US",89,22,"Syrah","Washington"
"US",82,8,"Chardonnay","California"
"France",88,NA,"White Blend","Southwest France"
"France",88,26,"Gewürztraminer","Alsace"
"US",85,25,"Zinfandel","California"
"US",91,32,"Cabernet Sauvignon","Washington"
"US",94,100,"Cabernet Sauvignon","California"
"Australia",91,45,"Shiraz","South Australia"
"Spain",91,45,"Tempranillo Blend","Northern Spain"
"South Africa",84,9,"Sauvignon Blanc","Western Cape"
"US",91,100,"Bordeaux-style Red Blend","California"
"France",88,17,"White Blend","Southwest France"
"Chile",85,16,"Merlot","Central Valley"
"Spain",85,10,"Tempranillo-Shiraz","Northern Spain"
"France",86,23,"Red Blend","Provence"
"Italy",87,11,"Primitivo","Southern Italy"
"US",89,20,"Gewürztraminer","California"
"Australia",86,20,"Cabernet Sauvignon","Victoria"
"Portugal",84,NA,"Port","Port"
"US",90,9,"Pinot Gris","Washington"
"Austria",88,30,"St. Laurent","Kamptal"
"Chile",82,15,"Cabernet Sauvignon","Maipo Valley"
"Chile",87,23,"Sauvignon Gris","Colchagua Valley"
"Spain",91,77,"Tempranillo","Northern Spain"
"Italy",89,15,"Greco","Southern Italy"
"Italy",86,NA,"Trebbiano di Lugana","Lombardy"
"US",81,22,"Merlot","California"
"US",82,24,"Chardonnay","California"
"US",91,90,"Pinot Noir","Oregon"
"Italy",84,NA,"Red Blend","Tuscany"
"US",92,49,"Syrah","California"
"France",84,11,"Red Blend","France Other"
"Italy",89,20,"Barbera","Piedmont"
"Italy",91,100,"Red Blend","Tuscany"
"Spain",86,8,"Tempranillo","Central Spain"
"France",90,NA,"Bordeaux-style White Blend","Bordeaux"
"New Zealand",85,15,"Chardonnay","East Coast"
"South Africa",93,125,"Bordeaux-style Red Blend","Franschhoek"
"Austria",89,42,"Riesling","Wachau"
"US",87,16,"Chardonnay","California"
"Argentina",86,16,"Tempranillo","Mendoza Province"
"Germany",89,20,"Riesling","Rheinhessen"
"Italy",85,20,"Moscato","Northeastern Italy"
"US",87,16,"Red Blend","Washington"
"Austria",94,85,"Riesling","Wachau"
"US",88,14,"Sparkling Blend","California"
"US",84,20,"Merlot","California"
"Italy",86,21,"Sangiovese","Tuscany"
"Italy",90,30,"Corvina, Rondinella, Molinara","Veneto"
"Austria",89,42,"Grüner Veltliner","Kremstal"
"France",82,10,"Pinot Noir","Languedoc-Roussillon"
"Italy",86,45,"Nebbiolo","Piedmont"
"Portugal",88,26,"Jaen","Dão"
"US",93,90,"Chardonnay","California"
"Argentina",82,10,"Cabernet Sauvignon","Mendoza Province"
"France",97,NA,"Bordeaux-style Red Blend","Bordeaux"
"Portugal",92,25,"Portuguese White","Alentejano"
"France",86,12,"Rhône-style Red Blend","Rhône Valley"
"France",91,66,"Chardonnay","Burgundy"
"US",91,32,"Chardonnay","California"
"Italy",92,52,"Red Blend","Tuscany"
"US",85,20,"Syrah","California"
"Spain",88,25,"Monastrell","Levante"
"US",88,36,"Cabernet Franc","Washington"
"France",89,65,"Champagne Blend","Champagne"
"US",87,35,"Pinot Noir","California"
"US",87,16,"Pinot Blanc","California"
"US",91,30,"Syrah","Washington"
"Italy",86,17,"Garganega","Veneto"
