"country","points","price","variety","province"
"US",83,11,"Red Blend","California"
"US",91,24,"Pinot Noir","Oregon"
"US",90,22,"Pinot Blanc","Oregon"
"Portugal",92,60,"Port","Port"
"Australia",83,11,"Shiraz","Australia Other"
"Italy",87,17,"Sangiovese","Central Italy"
"Italy",85,NA,"Primitivo","Southern Italy"
"France",86,NA,"Gamay","Beaujolais"
"US",92,32,"Chardonnay","California"
"Italy",90,60,"Nebbiolo","Piedmont"
"France",90,40,"Syrah","Rhône Valley"
"US",90,35,"Cabernet Sauvignon","Washington"
"US",93,50,"Cabernet Sauvignon","California"
"Austria",88,27,"Grüner Veltliner","Wachau"
"Spain",86,26,"Tempranillo Blend","Northern Spain"
"US",88,25,"Merlot","Washington"
"US",84,48,"Pinot Noir","California"
"Chile",84,11,"Muscat","Limarí Valley"
"Chile",88,15,"Cabernet Sauvignon","Limarí Valley"
"US",90,26,"Chardonnay","California"
"Italy",85,17,"Barbera","Piedmont"
"France",91,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",86,35,"Chardonnay","California"
"France",95,NA,"Pinot Noir","Burgundy"
"US",90,49,"Pinot Noir","California"
"Argentina",84,8,"Malbec","Mendoza Province"
"Portugal",85,10,"Portuguese Red","Tejo"
"US",85,20,"Rosé","California"
"US",89,18,"Rhône-style White Blend","California"
"Italy",85,19,"Prosecco","Veneto"
"Portugal",88,NA,"Port","Port"
"US",83,15,"Merlot","California"
"France",88,16,"Sauvignon Blanc","Loire Valley"
"Chile",89,20,"Syrah","Cachapoal Valley"
"US",84,30,"Viognier","Washington"
"France",88,28,"Gamay","Beaujolais"
"Spain",83,30,"Cabernet Sauvignon-Cabernet Franc","Levante"
"Italy",84,25,"Corvina, Rondinella, Molinara","Veneto"
"Argentina",84,25,"Chardonnay","Mendoza Province"
"Spain",83,47,"Tempranillo","Northern Spain"
"France",87,12,"Rosé","Provence"
"US",91,35,"Pinot Noir","California"
"Italy",95,NA,"Nebbiolo","Piedmont"
"US",87,24,"Chardonnay","California"
"US",84,21,"Zinfandel","California"
"US",86,24,"Cabernet Franc","California"
"South Africa",86,10,"Sauvignon Blanc","Western Cape"
"Spain",84,24,"Tempranillo Blanco","Northern Spain"
"US",89,34,"Red Blend","Washington"
"US",83,10,"Merlot","California"
"US",86,12,"Zinfandel","California"
"Italy",91,NA,"Nebbiolo","Piedmont"
"Italy",90,50,"Red Blend","Sicily & Sardinia"
"US",85,14,"Sauvignon Blanc","Washington"
"US",84,18,"Syrah","California"
"US",86,15,"Mourvèdre","Washington"
"Bulgaria",82,15,"Merlot","Thracian Valley"
"Chile",85,19,"Chardonnay","Maule Valley"
"France",89,NA,"Tannat-Cabernet","Southwest France"
"US",91,17,"Pinot Gris","Oregon"
"US",85,9,"Zinfandel","California"
"Spain",85,12,"Tempranillo","Central Spain"
"US",84,32,"Barbera","California"
"US",80,14,"Chambourcin","Missouri"
"Portugal",92,58,"Port","Port"
"US",90,22,"Pinot Noir","California"
"US",85,45,"Chardonnay","California"
"France",94,55,"Cabernet Sauvignon","Southwest France"
"Argentina",82,8,"Cabernet Sauvignon","Other"
"US",86,9,"Merlot","California"
"France",96,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",90,65,"Cabernet Sauvignon","California"
"US",86,20,"Grenache Blanc","California"
"US",88,30,"Bordeaux-style Red Blend","Washington"
"France",86,13,"Chardonnay","Languedoc-Roussillon"
"France",92,45,"Pinot Noir","Alsace"
"Spain",86,10,"Tempranillo Blend","Northern Spain"
"Chile",86,36,"Red Blend","Maipo Valley"
"US",92,20,"Sauvignon Blanc","California"
"US",91,35,"Pinot Noir","California"
"France",86,30,"Bordeaux-style Red Blend","Bordeaux"
"US",87,36,"Pinot Noir","California"
"US",87,15,"Chardonnay","California"
"Spain",88,22,"Red Blend","Northern Spain"
"Israel",86,30,"Red Blend","Galilee"
"US",90,65,"Merlot","California"
"Chile",83,10,"Cabernet Franc-Carmenère","Central Valley"
"Italy",91,30,"Prugnolo Gentile","Tuscany"
"US",85,16,"Gewürztraminer","California"
"US",92,40,"Fumé Blanc","California"
"France",92,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",88,13,"Pinot Gris","Washington"
"Italy",87,18,"Sangiovese","Tuscany"
"Portugal",92,NA,"Portuguese Red","Douro"
"US",87,NA,"Cabernet Sauvignon","California"
"Portugal",89,NA,"Portuguese White","Duriense"
"Italy",87,12,"Red Blend","Tuscany"
"France",83,12,"Bordeaux-style Red Blend","Bordeaux"
"US",87,34,"G-S-M","California"
"Romania",86,4,"Pinot Grigio","Viile Timisului"
"US",90,25,"Cabernet Sauvignon","California"
"US",86,35,"White Blend","California"
"Spain",86,9,"Viura","Northern Spain"
"US",84,35,"Chardonnay","California"
"US",91,45,"Merlot","California"
"Italy",88,NA,"Prosecco","Veneto"
"Italy",93,150,"Nebbiolo","Piedmont"
"US",92,28,"Cabernet Sauvignon","Washington"
"US",89,13,"Chardonnay","New York"
"Portugal",86,NA,"Portuguese White","Vinho Verde"
"US",92,30,"Chardonnay","Oregon"
"US",89,16,"Cabernet Franc","Washington"
"US",86,10,"Pinot Grigio","California"
"US",93,42,"Cabernet Franc","Washington"
"US",90,25,"Syrah","California"
"US",86,20,"Viognier","California"
"France",92,50,"Bordeaux-style Red Blend","Bordeaux"
"Portugal",85,14,"Portuguese Red","Alentejano"
"US",88,20,"Sauvignon Blanc","Oregon"
"US",82,50,"Meritage","California"
"US",90,49,"Syrah","Washington"
"US",84,9,"Chardonnay","California"
"Italy",89,NA,"Sangiovese","Tuscany"
"Australia",91,30,"Chardonnay","Australia Other"
"France",91,NA,"Pinot Noir","Burgundy"
"Italy",90,110,"Nebbiolo","Piedmont"
"US",87,28,"Pinot Noir","California"
"Italy",86,29,"Corvina, Rondinella, Molinara","Veneto"
"Chile",90,18,"Cabernet Franc","Casablanca Valley"
"Portugal",85,9,"Bical","Bairrada"
"Italy",87,15,"Primitivo","Southern Italy"
"Austria",93,108,"Grüner Veltliner","Kamptal"
"Austria",86,31,"Sauvignon Blanc","Südoststeiermark"
"US",93,40,"Pinot Noir","California"
"Germany",89,54,"Silvaner","Franken"
"US",86,36,"Merlot","Washington"
"US",89,44,"Chardonnay","California"
"US",87,26,"Chardonnay","California"
"Chile",85,13,"Cabernet Sauvignon","Molina"
"Portugal",86,32,"Bastardo","Douro"
"US",85,18,"Red Blend","Washington"
"France",89,45,"Bordeaux-style White Blend","Bordeaux"
"US",87,18,"Sauvignon Blanc","California"
"Italy",87,NA,"Sangiovese Grosso","Tuscany"
"US",90,20,"Petite Sirah","Washington"
"France",87,53,"Champagne Blend","Champagne"
"Italy",87,13,"Prosecco","Veneto"
"US",88,42,"Pinot Noir","California"
"Spain",86,10,"White Blend","Northern Spain"
"Australia",92,38,"Cabernet Sauvignon","South Australia"
"Argentina",86,9,"Shiraz","Other"
"US",94,63,"Pinot Noir","Oregon"
"France",89,17,"Rhône-style Red Blend","Rhône Valley"
"US",84,30,"Viognier","California"
"US",83,28,"Chardonnay","California"
"Italy",92,25,"Greco","Southern Italy"
"US",84,6,"Chardonnay","California"
"Italy",91,45,"Barbera","Piedmont"
"Italy",90,NA,"Nero d'Avola","Sicily & Sardinia"
"US",88,19,"Gewürztraminer","Oregon"
"US",89,33,"Chardonnay","California"
"France",87,14,"Bordeaux-style White Blend","Bordeaux"
"France",91,25,"Rhône-style Red Blend","Languedoc-Roussillon"
"US",86,27,"Chardonnay","California"
"France",91,31,"Rhône-style Red Blend","Rhône Valley"
"US",89,22,"Zinfandel","California"
"France",86,50,"Pinot Noir","Burgundy"
"Italy",86,NA,"Sangiovese","Tuscany"
"US",91,38,"Merlot","Washington"
"Argentina",91,20,"Cabernet Sauvignon","Mendoza Province"
"US",93,24,"Chardonnay","California"
"Argentina",86,12,"Cabernet Sauvignon-Malbec","Mendoza Province"
"Chile",86,12,"Carmenère","Colchagua Valley"
"US",89,50,"Pinot Noir","California"
"Italy",87,NA,"Negroamaro","Southern Italy"
"Italy",84,NA,"Corvina, Rondinella, Molinara","Veneto"
"South Africa",87,20,"Chardonnay","Stellenbosch"
"Italy",88,18,"Barbera","Piedmont"
"Portugal",89,19,"Arinto","Bucelas"
"Israel",85,15,"Cabernet Sauvignon","Galilee"
"South Africa",88,9,"Cabernet Sauvignon","Western Cape"
"Italy",83,18,"Barbera","Piedmont"
"South Africa",88,35,"Syrah","Jonkershoek Valley"
"US",84,28,"Syrah","Washington"
"US",92,45,"Cabernet Sauvignon","California"
"Chile",83,12,"White Blend","Maule Valley"
"Spain",85,15,"Tempranillo Blend","Northern Spain"
"South Africa",88,16,"Chardonnay","Elgin"
"US",92,35,"Chardonnay","Washington"
"Chile",80,12,"Chardonnay","Casablanca Valley"
"France",88,35,"Chardonnay","Burgundy"
"Chile",86,9,"Merlot","Curicó Valley"
"US",87,34,"Cabernet Sauvignon","Washington"
"Argentina",91,80,"Bordeaux-style Red Blend","Mendoza Province"
"US",87,24,"Rhône-style White Blend","California"
"New Zealand",89,NA,"Bordeaux-style Red Blend","Hawke's Bay"
"France",89,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",87,25,"Merlot","Washington"
"Chile",89,19,"Syrah","Colchagua Valley"
"US",92,65,"Pinot Noir","Oregon"
"France",88,NA,"Chardonnay","Burgundy"
"Italy",88,13,"Sangiovese","Tuscany"
"Australia",83,25,"Merlot","Australia Other"
"Portugal",86,9,"Portuguese Red","Lisboa"
"Italy",91,45,"Nebbiolo","Piedmont"
"US",92,29,"Pinot Noir","California"
"Chile",88,20,"Carmenère","Maipo Valley"
"Argentina",86,12,"Malbec-Syrah","Mendoza Province"
"US",83,30,"Zinfandel","California"
"Italy",89,59,"Nebbiolo","Piedmont"
"Italy",87,18,"Sangiovese","Tuscany"
"US",85,42,"Pinot Noir","California"
"France",90,57,"Pinot Noir","Burgundy"
"New Zealand",87,17,"Riesling","Marlborough"
"France",89,NA,"Bordeaux-style Red Blend","Bordeaux"
"France",89,NA,"Bordeaux-style White Blend","Bordeaux"
"Argentina",88,18,"Cabernet Sauvignon","Mendoza Province"
"US",93,48,"Pinot Noir","Oregon"
"Italy",89,59,"Sparkling Blend","Lombardy"
"Argentina",90,20,"Malbec","Mendoza Province"
"US",85,20,"Merlot","New York"
"Portugal",91,25,"Portuguese Red","Alentejo"
"France",88,15,"Bordeaux-style White Blend","Southwest France"
"US",92,50,"Pinot Noir","California"
"South Africa",91,20,"Chardonnay","Stellenbosch"
"Italy",90,33,"Pinot Bianco","Northeastern Italy"
"France",90,NA,"Gamay","Beaujolais"
"US",95,59,"Pinot Noir","California"
"Australia",85,21,"Chardonnay","Western Australia"
"US",85,40,"Chardonnay","California"
"US",87,29,"Merlot","California"
"US",87,16,"Meritage","California"
"Australia",85,33,"Cabernet Sauvignon","South Australia"
"US",90,24,"White Blend","Washington"
"Italy",85,19,"Lambrusco","Central Italy"
"US",88,32,"Cabernet Sauvignon","California"
"US",91,20,"Bordeaux-style Red Blend","Washington"
"Italy",85,13,"Montepulciano","Central Italy"
"US",90,5,"Syrah","California"
"US",83,18,"Syrah","California"
"Chile",85,12,"Cabernet Sauvignon","Cachapoal Valley"
"US",86,24,"Cabernet Sauvignon","California"
"US",88,48,"Red Blend","California"
"France",88,20,"Rhône-style Red Blend","Languedoc-Roussillon"
"Argentina",81,12,"Torrontés","Mendoza Province"
"US",86,18,"Chardonnay","California"
"Italy",90,24,"Sangiovese","Central Italy"
"US",93,50,"Pinot Noir","California"
"Italy",92,70,"Sangiovese Grosso","Tuscany"
"Spain",89,29,"Verdejo","Northern Spain"
"US",86,13,"Chardonnay","California"
"US",84,29,"Zinfandel","California"
"Italy",88,20,"Sylvaner","Northeastern Italy"
"Italy",92,42,"Aglianico","Southern Italy"
"Germany",94,51,"Riesling","Mosel"
"Argentina",83,14,"Rosé","Mendoza Province"
"France",87,13,"Gamay","Beaujolais"
"Germany",88,26,"Riesling","Mosel-Saar-Ruwer"
"US",82,12,"Sauvignon Blanc","California"
"US",84,22,"Pinot Gris","California"
"US",87,25,"Gewürztraminer","Washington"
"Italy",89,12,"Aglianico","Southern Italy"
"France",92,45,"Savagnin","France Other"
"Spain",92,22,"Albariño","Galicia"
"Italy",84,NA,"Corvina, Rondinella, Molinara","Veneto"
"US",84,32,"Red Blend","California"
"France",93,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",92,60,"Cabernet Sauvignon","California"
"Italy",90,21,"Red Blend","Sicily & Sardinia"
"US",82,16,"Zinfandel","California"
"France",85,NA,"Cabernet Franc","Loire Valley"
"Argentina",90,24,"Malbec","Mendoza Province"
"France",90,23,"Sauvignon Blanc","Loire Valley"
"US",85,28,"Syrah-Grenache","California"
"US",85,19,"Merlot","California"
"Spain",88,20,"Garnacha","Northern Spain"
"Spain",80,8,"Moscato","Spain Other"
"Spain",89,18,"Muscat","Andalucia"
"US",91,48,"Pinot Noir","California"
"New Zealand",89,48,"Pinot Noir","Nelson"
"US",92,35,"Syrah","California"
"US",85,16,"Pinot Noir","California"
"US",88,19,"Riesling","Washington"
"South Africa",90,27,"Syrah","Stellenbosch"
"France",93,NA,"Bordeaux-style Red Blend","Bordeaux"
"South Africa",88,43,"Red Blend","Stellenbosch"
"Italy",85,8,"Red Blend","Tuscany"
"US",87,34,"Pinot Noir","California"
"US",90,25,"Syrah","Washington"
"US",92,25,"Merlot","California"
"Germany",86,20,"Riesling","Rheinhessen"
"US",85,16,"Pinot Noir","California"
"Argentina",85,35,"Red Blend","Other"
"US",86,30,"Rhône-style Red Blend","California"
"Italy",89,47,"Corvina, Rondinella, Molinara","Veneto"
"France",82,50,"Pinot Noir","Burgundy"
"Italy",92,58,"Red Blend","Tuscany"
"US",86,28,"Syrah","California"
"Italy",87,NA,"White Blend","Veneto"
"Portugal",92,32,"Touriga Nacional Blend","Ribatejano"
"US",90,13,"Chardonnay","Washington"
"US",90,22,"Chardonnay","Washington"
"Italy",94,130,"Red Blend","Tuscany"
"US",91,50,"Red Blend","Washington"
"US",87,14,"Riesling","New York"
"US",89,18,"Zinfandel","California"
"US",87,30,"Petite Sirah","California"
"US",87,22,"Chardonnay","California"
"South Africa",87,12,"Cabernet Sauvignon","Stellenbosch"
"France",89,43,"Rosé","Provence"
"France",91,NA,"Bordeaux-style Red Blend","Bordeaux"
"Spain",89,24,"Godello","Northern Spain"
"Spain",85,10,"Merlot","Central Spain"
"US",87,38,"Pinot Noir","California"
"Spain",86,10,"Sparkling Blend","Catalonia"
"Slovenia",90,30,"Pinot Grigio","Brda"
"US",87,26,"Cabernet Sauvignon","California"
"Italy",91,29,"Chardonnay","Lombardy"
"France",88,36,"Syrah","Rhône Valley"
"US",87,10,"Chardonnay","Washington"
"Spain",85,10,"White Blend","Catalonia"
"Austria",86,20,"Cabernet Sauvignon","Burgenland"
"Italy",86,NA,"Garganega","Veneto"
"France",89,30,"Syrah","Rhône Valley"
"US",85,26,"Viognier","Washington"
"Italy",90,10,"Sangiovese","Tuscany"
"Australia",89,16,"Cabernet Sauvignon","Western Australia"
"Spain",84,10,"Garnacha","Central Spain"
"Spain",83,20,"Viura","Northern Spain"
"US",91,50,"Bordeaux-style Red Blend","Washington"
"Italy",87,NA,"Garganega","Veneto"
"Italy",89,24,"Red Blend","Tuscany"
"US",88,28,"Tempranillo","Oregon"
"Italy",88,25,"Red Blend","Tuscany"
"US",89,12,"Gewürztraminer","California"
"US",91,52,"Pinot Noir","California"
"US",88,40,"Sangiovese","California"
"Germany",87,18,"Riesling","Mosel"
"Italy",84,18,"Barbera","Piedmont"
"Austria",92,38,"Riesling","Wachau"
"Italy",82,6,"Sangiovese","Tuscany"
"US",91,35,"Chardonnay","California"
"Australia",91,65,"Chardonnay","Australia Other"
"Austria",88,25,"Grüner Veltliner","Wachau"
"France",84,12,"Rosé","Bordeaux"
"US",88,25,"Sauvignon Blanc","California"
"France",92,30,"Bordeaux-style Red Blend","Bordeaux"
"Germany",88,21,"Riesling","Mosel"
"Austria",88,21,"Roter Veltliner","Niederösterreich"
"Italy",87,18,"Falanghina","Southern Italy"
"France",88,NA,"Bordeaux-style Red Blend","Bordeaux"
"France",94,150,"Bordeaux-style Red Blend","Bordeaux"
"Argentina",92,50,"Malbec","Mendoza Province"
"Italy",91,60,"Sagrantino","Central Italy"
"US",91,29,"Pinot Noir","California"
"Italy",91,NA,"Aglianico","Southern Italy"
"Italy",90,49,"Red Blend","Tuscany"
"US",86,14,"Syrah","California"
"US",87,27,"Sauvignon Blanc","California"
"US",87,18,"Pinot Noir","Oregon"
"US",92,25,"Cabernet Sauvignon","California"
"Portugal",88,18,"Portuguese White","Douro"
"France",90,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",92,40,"Cabernet Sauvignon","Washington"
"US",90,21,"Cabernet Sauvignon","California"
"US",86,17,"Syrah","Washington"
"Portugal",91,100,"Touriga Nacional","Douro"
"Romania",83,18,"Sauvignon Blanc","Vânju Mare"
"Portugal",83,13,"Rosé","Douro"
"France",86,25,"Bordeaux-style Red Blend","Bordeaux"
"France",90,20,"White Blend","Southwest France"
"US",91,75,"Pinot Noir","Oregon"
"Italy",88,25,"Dolcetto","Piedmont"
"Austria",88,18,"Grüner Veltliner","Wagram-Donauland"
"US",85,25,"Chardonnay","California"
"Italy",88,110,"Merlot","Tuscany"
"Argentina",86,15,"Torrontés","Other"
"Chile",88,12,"Malbec","Colchagua Valley"
"New Zealand",87,NA,"Syrah","Waiheke Island"
"Italy",87,NA,"Corvina, Rondinella, Molinara","Veneto"
"Argentina",85,13,"Torrontés","Other"
"US",92,36,"Chardonnay","California"
"South Africa",84,14,"Shiraz","Durbanville"
"US",83,24,"Chardonnay","California"
"Chile",88,23,"Chardonnay","Limarí Valley"
"France",87,130,"Chardonnay","Burgundy"
"Italy",89,NA,"Chardonnay","Lombardy"
"US",89,50,"Sangiovese","Washington"
"Italy",90,42,"Red Blend","Tuscany"
"Italy",89,20,"Sauvignon","Northeastern Italy"
"France",87,23,"Chardonnay","Burgundy"
"US",86,10,"Merlot","California"
"France",86,12,"Chardonnay","Burgundy"
"Spain",86,13,"Tempranillo","Northern Spain"
"Italy",86,14,"Cortese","Piedmont"
"US",90,28,"Syrah","Washington"
"US",90,30,"Pinot Noir","California"
"Italy",90,30,"White Blend","Sicily & Sardinia"
"Portugal",89,NA,"Portuguese Red","Lisboa"
"France",87,15,"Bordeaux-style Red Blend","Bordeaux"
"Spain",88,30,"Grenache Blanc","Catalonia"
"US",84,24,"Tempranillo","Washington"
"Australia",90,52,"Shiraz","South Australia"
"Argentina",83,9,"Torrontés","Other"
"US",86,13,"Chardonnay","California"
"US",83,11,"Merlot","California"
"US",82,48,"Meritage","Virginia"
"US",91,60,"Meritage","California"
"US",84,22,"Rosé","California"
"US",84,45,"Syrah","California"
"US",87,22,"Zinfandel","California"
"US",87,24,"Syrah","California"
"US",88,21,"Cabernet Sauvignon","California"
"Italy",82,NA,"Sangiovese","Tuscany"
"France",84,15,"Bordeaux-style Red Blend","Bordeaux"
"US",88,37,"Pinot Noir","California"
"US",92,34,"Syrah","California"
"US",91,25,"Red Blend","California"
"Australia",90,21,"Cabernet Sauvignon","Western Australia"
"Argentina",80,10,"Malbec","Other"
"France",89,NA,"Bordeaux-style White Blend","Southwest France"
"US",90,30,"Syrah","California"
"US",87,22,"Grenache","California"
"Greece",88,20,"Red Blend","Ilias"
"South Africa",87,24,"White Blend","Swartland"
"US",83,12,"Chardonnay","California"
"Greece",85,10,"White Blend","Vin de Pays de Macédoine"
"US",83,38,"Merlot","Washington"
"Chile",91,40,"Red Blend","Maipo Valley"
"US",83,19,"Chardonnay","California"
"Portugal",89,NA,"Touriga Nacional","Tejo"
"US",82,40,"Petite Sirah","California"
"Spain",83,11,"Monastrell-Syrah","Levante"
"US",88,15,"Cabernet Sauvignon","California"
"US",88,23,"Bordeaux-style Red Blend","Washington"
"US",86,10,"Chardonnay","California"
"Austria",86,15,"Austrian white blend","Burgenland"
"Israel",88,25,"Chardonnay","Judean Hills"
"France",90,18,"Roussanne","Rhône Valley"
"France",86,NA,"Malbec","Southwest France"
"US",85,33,"Pinot Noir","California"
"France",86,NA,"Shiraz","France Other"
"Argentina",86,13,"Syrah","Mendoza Province"
"Chile",86,12,"Cabernet Sauvignon","Colchagua Valley"
"US",87,52,"Syrah","California"
"Spain",86,15,"Tempranillo Blend","Northern Spain"
"Germany",86,18,"Riesling","Mosel"
"US",92,55,"Cabernet Sauvignon","California"
"Italy",94,70,"Red Blend","Southern Italy"
"Germany",87,13,"Gewürztraminer","Rheinhessen"
"Italy",92,42,"Dolcetto","Piedmont"
"France",82,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",87,26,"Zinfandel","California"
"US",90,40,"Pinot Noir","California"
"US",92,48,"Pinot Noir","California"
"Israel",90,15,"Riesling","Galilee"
"US",81,48,"Pinot Noir","California"
"Spain",88,17,"Mencía","Northern Spain"
"Chile",84,13,"Carmenère","Colchagua Valley"
"US",86,16,"Zinfandel","California"
"US",90,35,"Cabernet Sauvignon","California"
"US",86,30,"Pinot Noir","California"
"Portugal",87,33,"Port","Port"
"New Zealand",91,21,"Riesling","Marlborough"
"France",88,35,"Bordeaux-style Red Blend","Bordeaux"
"US",84,15,"Chardonnay","California"
"Austria",88,24,"Riesling","Kamptal"
"US",96,65,"Bordeaux-style Red Blend","Washington"
"Chile",85,22,"Pinot Noir","Bío Bío Valley"
"US",92,35,"Chardonnay","California"
"US",88,14,"Sangiovese","California"
"US",96,195,"Cabernet Sauvignon","California"
"Argentina",83,15,"Torrontés","Mendoza Province"
"Spain",87,9,"Garnacha","Northern Spain"
"France",87,26,"Cabernet Franc","France Other"
"Argentina",89,16,"Cabernet Sauvignon","Mendoza Province"
"France",87,36,"Rhône-style Red Blend","Languedoc-Roussillon"
"France",90,NA,"Bordeaux-style White Blend","Bordeaux"
"France",88,25,"Bordeaux-style Red Blend","Bordeaux"
"Spain",91,45,"Monastrell","Levante"
"Italy",92,55,"Nebbiolo","Piedmont"
"Spain",87,28,"Albariño","Galicia"
"Austria",92,58,"Austrian Red Blend","Carnuntum"
"Austria",90,25,"Grüner Veltliner","Niederösterreich"
"US",91,55,"Pinot Noir","California"
"US",95,98,"Red Blend","California"
"US",93,95,"Cabernet Sauvignon","California"
"Chile",93,50,"Carmenère","Colchagua Valley"
"US",88,8,"Red Blend","Washington"
"Turkey",89,17,"Chardonnay","Thrace"
"US",90,95,"Cabernet Sauvignon","California"
"Spain",87,12,"Rosé","Northern Spain"
"Italy",86,15,"Sangiovese","Tuscany"
"US",85,32,"Cabernet Franc","California"
"US",92,39,"Chardonnay","California"
"Austria",87,26,"Grüner Veltliner","Wachau"
"Australia",89,18,"Shiraz","South Australia"
"France",85,32,"Bordeaux-style Red Blend","Bordeaux"
"Austria",88,25,"Grüner Veltliner","Wachau"
"Australia",88,13,"Shiraz","New South Wales"
"US",88,15,"Chardonnay","California"
"US",93,60,"Pinot Noir","California"
